# spec/derived/rules.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# One row per statement of JLReq this library answers for: every section of §3 and of Appendices B through F that states something in its own words, and every note of §B.2, §C.2, §D.2 and §E.2.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 71d060ca426af22f7aa6b34424a01c5035090d63895e5543db9be62e97880231

address	name	standing	direction_conditional	statement_en	statement_ja
# `standing` is Normative throughout, because every row quotes the specification. An
# Alternative arrives with the policy space, and an Unstated or an Adjudicated from
# docs/decisions/: those are this project's published readings, written rather than
# derived (docs/adr/0009).
#
# `direction_conditional` is ADR 0011's reading and not a property of the text. The
# three rules marked here are the three that decision fixes, and this derivation
# refuses to emit unless each one's own text still names a writing mode. Many more
# rules name one without being conditioned on it.
3.1.1	DIFFERENCES_IN_VERTICAL_AND_HORIZONTAL_COMPOSITION_IN_USE_OF_PUNCTUATION_MARKS	Normative	false	There are some punctuation marks that are used uniquely in either vertical writing mode or horizontal writing mode. In this document, characters and symbols are treated as members of a character class, classified by their behavior for composition. Each class name is followed by class id, such as opening brackets (cl-01). Details are explained in § 3.9 About Character Classes . The following are some typical examples:	縦組と横組で異なる約物などを使用する例がある．主な例を次に示す．（なお，以下の文書では，約物を含む文字・記号について，その組版上の振る舞いで分類し，文字クラスとしてグループに分けて扱う．用語の後ろの括弧内に“（cl-01）”などと示すものは，その文字クラスの番号である．文字クラスの詳細は§ 3.9 文字クラスについて で解説する．）
3.1.2	POSITIONING_OF_PUNCTUATION_MARKS_COMMAS_PERIODS_AND_BRACKETS	Normative	false	The positioning of punctuation marks (commas, periods and brackets) in a line proceeds as follows.	約物などを行に配置する場合の基本的な配置は，次のようにする．
3.1.3	EXCEPTIONAL_POSITIONING_OF_IDEOGRAPHIC_COMMA_AND_KATAKANA_MIDDLE_DOT	Normative	true	The spacing usually added after IDEOGRAPHIC COMMA "、" and the spacing before and after KATAKANA MIDDLE DOT "・" are omitted, in principle, for cosmetic reasons in the following cases.	次のような場合においては，読点[、] (IDEOGRAPHIC COMMA)の後ろ及び中点[・] (KATAKANA MIDDLE DOT)の前後の空き量をとらないことを原則とする．これは体裁上からの処理である．
3.1.4	POSITIONING_OF_CONSECUTIVE_OPENING_BRACKETS_CLOSING_BRACKETS_COMMAS_FULL_STOPS_AND_MIDDLE_DOTS	Normative	false	In cases where multiple punctuation marks, such as opening brackets (cl-01), closing brackets (cl-02), commas (cl-07), full stops (cl-06) and middle dots (cl-05), come one after the other, the following spacing adjustments are made for aesthetic reasons (see Figure 69). Note also that the half em and quarter em spacing added before or after punctuation marks, including the half em spacing after full stops (cl-06) appearing in the middle of a line, are subject, in principle, to line adjustment and may eventually be removed, except for those added after full stops (cl-06). (See § 3.8 Line Adjustment for more about line adjustment.) For more information about the positioning of closing brackets (cl-02), full stops (cl-06), commas (cl-07) and middle dots (cl-05) at line end, see § 3.1.9 Positioning of Closing Brackets, Full Stops, Commas and Middle Dots at Line End .	始め括弧類（cl-01），終わり括弧類（cl-02），読点類（cl-07），句点類（cl-06）及び中点類（cl-05）が連続する場合は，次のようにする（Figure 69）．これは体裁上からの処理である．なお，行中における句点類（cl-06）の後ろの二分アキを除いて，行末における句点類（cl-06）の後ろの二分アキを含めて原則として二分アキ又は四分アキとする箇所は，行の調整処理の詰める場合の対象にしてよい（行の調整処理については，§ 3.8 行の調整処理 を参照）．なお，行末に配置する終わり括弧類（cl-02），句点類（cl-06），読点類（cl-07）及び中点類（cl-05）の配置方法については§ 3.1.9 行末に配置する終わり括弧類，句点類，読点類及び​中点類の​配置方法 を参照．
3.1.5	POSITIONING_OF_OPENING_BRACKETS_AT_LINE_HEAD	Normative	false	When starting a new line with opening brackets (cl-01) there are some patterns as shown in Figure 71. Note that the amount of line indent after the line feed (the first line indent of a new paragraph) is assumed to be a one em space across all the patterns.	行頭に配置する始め括弧類（cl-01）の配置方法には，Figure 71のような方式がある．なお，改行の行頭（段落における第1行目の行頭）の字下げを全角アキとする場合である．
3.1.6	POSITIONING_OF_DIVIDING_PUNCTUATION_MARKS_QUESTION_MARK_AND_EXCLAMATION_MARK_AND_HYPHENS	Normative	false	The dividing punctuation marks (cl-04) (QUESTION MARK "?" and EXCLAMATION MARK "!") should be full-width, and they are typeset as follows.	区切り約物（cl-04）（疑問符[？] (QUESTION MARK)と感嘆符[！] (EXCLAMATION MARK)）の字幅は，全角とし，次のように配置する．
3.1.7	CHARACTERS_NOT_STARTING_A_LINE	Normative	false	In principle, no line should begin with closing brackets (cl-02), hyphens (cl-03), dividing punctuation marks (cl-04), middle dots (cl-05), full stops (cl-06), commas (cl-07), iteration marks (cl-09), a prolonged sound mark (cl-10), small kana (cl-11) or warichu closing brackets (cl-29) (line-start prohibition rule). Otherwise the line would have an odd appearance.	終わり括弧類（cl-02），ハイフン類（cl-03），区切り約物（cl-04），中点類（cl-05），句点類（cl-06），読点類（cl-07），繰返し記号（cl-09），長音記号（cl-10），小書きの仮名（cl-11）及び割注終わり括弧類（cl-29）を行頭に配置してはならない（行頭禁則）．これは体裁がよくないからである．
3.1.8	CHARACTERS_NOT_ENDING_A_LINE	Normative	false	No line should end with opening brackets (cl-01) or warichu opening brackets (cl-28) (line-end prohibition rules). Otherwise the line would have an odd appearance.	始め括弧類（cl-01）及び割注始め括弧類（cl-28）を行末に配置してはならない（行末禁則）．これは体裁がよくないからである．
