# spec/derived/questions.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# One row per place JLReq permits more than one answer: the `Question` constant docs/design/api-spine.md publishes, the address that permits the alternative, every answer with the sentence it rests on and the rule stating it, whether JLReq calls it preferred, the answer each of the five presets selects, and the exclusions `Policy::with` reads.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs, xtask/src/policy.rs
# Reader SHA-256: 01fa49824771c2ca67ce29cd58d3d509120cce6211201de6774123276bba3ce8

question	constant	address	permission	locale	permits	rule	answer_rules	statements	preferred	jlreq	jis_reading	book	magazine	newspaper	excludes	evidence
# Which sections state two readings is a reading of prose and not a property a
# scanner computes, so the rows below are written in xtask/src/policy.rs and the
# derivation holds each of them against the document: every `statements` entry is
# quoted verbatim from the `en` rendering of the address at the same position in
# `answer_rules`, and a row whose sentence is not there emits nothing at all
# (docs/adr/0009).
#
# `permission` says why the alternative is permitted, which is the distinction that
# must not be laundered away. `stated`: the section or note states the alternatives
# in so many words. `divergent`: the two renderings of one sentence do not state the
# same rule. `contradictory`: the document states one rule twice, in ways that are
# not equivalent. `silent`: the document decides nothing, and the answers are this
# project's. Only `stated` is a permission JLReq grants; the other three are
# permissions read out of it.
#
# `permits` names every answer, space separated; `answer_rules` gives each one's
# citing rule as the ordinal `spec/derived/rules.tsv` assigns it, pipe separated in
# the same order; `statements` gives each one's sentence the same way. `preferred`
# names the one answer of `permits` JLReq calls preferred, or `none`.
#
# `jlreq` is the answer Policy::JLREQ selects: JLReq's own preference where it states
# one, this project's published reading where JLReq states nothing, and failing both
# the reading the specification states first. `jis_reading`, `book`, `magazine` and
# `newspaper` are the further four presets; each is `jlreq`'s own answer wherever
# this project found no divergence to record for that practice.
#
# `excludes` lists, for the answers that exclude another question's answer, entries
# of the form `owner|question|answer|rule`, semicolon separated. `rule` is the
# excluding rule's ordinal in `spec/derived/rules.tsv`. The relation is symmetric and
# is recorded once, on whichever answer states it.
kinsoku.level	KINSOKU_LEVEL	C.3	stated	en	very-loose loose strict very-strict	50	50|50|50|50	Very loose (Newspapers)|Loose (Magazines)|Strict (Default, general publications)|Very strict (General publications)	none	strict	strict	strict	loose	very-loose	very-strict|kinsoku.grouped_numeral_before_western|breakable|50;very-strict|kinsoku.relaxation_mechanism|reclassify|50	The following lists four levels of convention.
adjustment.reduction_table	REDUCTION_TABLE	D	stated	en	table-3 table-4 table-5	51	51|51|51	Table 3 follows the method adopted by this document|Table 4 supplies an alternative way specified by JIS X 4051|Table 5, taking partially different approaches from the previous two, represents yet another method which can be seen in books or other publications	none	table-3	table-4	table-5	table-3	table-3		Table 3 follows the method adopted by this document, Table 4 supplies an alternative way specified by JIS X 4051, and Table 5, taking partially different approaches from the previous two, represents yet another method which can be seen in books or other publications.
spacing.line_end_punctuation	LINE_END_PUNCTUATION	B.2#2	stated	en	half-em solid	60	60|60	The preferred spacing between closing brackets (cl-02) and the line end is a half em.|The alternative is to set solid (JIS X 4051 adopts solid setting method	half-em	half-em	solid	half-em	half-em	half-em		The preferred spacing between closing brackets (cl-02) and the line end is a half em. The alternative is to set solid
spacing.line_end_full_stop_comma	LINE_END_FULL_STOP_COMMA	B.2#6	stated	en	preferred jis	64	64|64	The preferred spacing between full stops (cl-06) or commas (cl-07) and the line end is a half em.|The alternative is to set solid (JIS X 4051 specifies that the spacing after full stop (cl-06) is a half em and the spacing after comma (cl-07) is solid	preferred	preferred	jis	preferred	preferred	preferred		The preferred spacing between full stops (cl-06) or commas (cl-07) and the line end is a half em. The alternative is to set solid
