# [capture]
# author = "appendix-d-table4-en-transcriber"
# date = "2026-08-07"
# Reconciliation note: row cl-02, column cl-26 is a genuine divergence between the English
# and Japanese renderings of Table 4, not a transcription slip. The English rendering leaves
# the cell blank (confirmed at 300 dpi: no glyph, no cell background color, at the cl-26
# column position). The Japanese rendering prints a literal footnote marker "注1）" (note 1)
# at that coordinate (confirmed at 300 dpi: the marker sits at the cl-26 column center, not
# cl-25 or cl-27). D.2#1's text, in both locales, describes only a cl-05-followed-by-cl-05
# adjacency and states nothing about cl-02 or cl-26, so the marker does not yield a readable
# rule for this cell. Recorded as blank on both sides rather than fabricated as a value
# D.2#1 does not state; proposed as a recorded defect for the milestone owner to wire into
# spec/derived/defects.tsv (id candidate: appendix-d-table4-cl02-cl26-locale-divergence).
#
# cl-07,cl-05 (D.2#3): D.2#3's text distinguishes Table 3 from Table 4 explicitly -- the
# English half's own parenthetical reads "in Table 4, the conditional half space
# accompanying preceding comma (cl-07) and the conditional quarter space accompanying
# trailing middle dot (cl-05) can be reduced to solid setting", but the Japanese half is
# narrower and is treated as authoritative here: Table 4 reduces only the TRAILING middle
# dot's quarter em, not the comma's half em, matching D.2#3's own priority sentence, which
# gives cl-05 a Table 4 stage ("second") and gives cl-07 none at all in Table 4 (only
# "fifth" in Table 3 and "third" in Table 5). The English parenthetical's "and" reads as
# an EN/JA translation divergence against the Japanese original and against the priority
# sentence, and is not followed here. Recorded as 3/4-1/2 stage 2 (only the middle dot's
# component reduces, the comma's half em stays), not 3/4-0 -- the same floor cl-06,cl-05's
# own Table 4 cell already uses for the identical one-part shape.
source	table	before	after	token	note
table_en5.pdf	4	cl-01	cl-01	blank	
table_en5.pdf	4	cl-01	cl-02	blank	
table_en5.pdf	4	cl-01	cl-03	blank	
table_en5.pdf	4	cl-01	cl-04	blank	
table_en5.pdf	4	cl-01	cl-05	1/4-0 stage 2	
table_en5.pdf	4	cl-01	cl-06	blank	
table_en5.pdf	4	cl-01	cl-07	blank	
table_en5.pdf	4	cl-01	cl-08	blank	
table_en5.pdf	4	cl-01	cl-09	blank	
table_en5.pdf	4	cl-01	cl-10	blank	
table_en5.pdf	4	cl-01	cl-11	blank	
table_en5.pdf	4	cl-01	cl-12	blank	
table_en5.pdf	4	cl-01	cl-13	blank	
table_en5.pdf	4	cl-01	cl-14	blank	
table_en5.pdf	4	cl-01	cl-15	blank	
table_en5.pdf	4	cl-01	cl-16	blank	
table_en5.pdf	4	cl-01	cl-19	blank	
table_en5.pdf	4	cl-01	cl-20	blank	
table_en5.pdf	4	cl-01	cl-21	blank	
table_en5.pdf	4	cl-01	cl-22	blank	
table_en5.pdf	4	cl-01	cl-23	blank	
table_en5.pdf	4	cl-01	cl-24	blank	
table_en5.pdf	4	cl-01	cl-25	blank	
table_en5.pdf	4	cl-01	cl-26	blank	
table_en5.pdf	4	cl-01	cl-27	blank	
table_en5.pdf	4	cl-01	cl-28	blank	
table_en5.pdf	4	cl-01	cl-29	×	
table_en5.pdf	4	cl-01	cl-30	blank	
table_en5.pdf	4	cl-01	line-end	×	
table_en5.pdf	4	cl-02	cl-01	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-02	blank	
table_en5.pdf	4	cl-02	cl-03	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-04	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-05	1/4-0 stage 2	
table_en5.pdf	4	cl-02	cl-06	blank	
table_en5.pdf	4	cl-02	cl-07	blank	
table_en5.pdf	4	cl-02	cl-08	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-09	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-10	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-11	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-12	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-13	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-14	blank	
table_en5.pdf	4	cl-02	cl-15	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-16	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-19	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-20	blank	
table_en5.pdf	4	cl-02	cl-21	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-22	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-23	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-24	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-25	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-26	blank	
table_en5.pdf	4	cl-02	cl-27	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-28	1/2-0 stage 3	
table_en5.pdf	4	cl-02	cl-29	blank	
table_en5.pdf	4	cl-02	cl-30	1/2-0 stage 3	
table_en5.pdf	4	cl-02	line-end	blank	
table_en5.pdf	4	cl-03	cl-01	1/2-0 stage 3	
table_en5.pdf	4	cl-03	cl-02	blank	
table_en5.pdf	4	cl-03	cl-03	blank	
table_en5.pdf	4	cl-03	cl-04	blank	
table_en5.pdf	4	cl-03	cl-05	1/4-0 stage 2	
table_en5.pdf	4	cl-03	cl-06	blank	
table_en5.pdf	4	cl-03	cl-07	blank	
table_en5.pdf	4	cl-03	cl-08	blank	
table_en5.pdf	4	cl-03	cl-09	blank	
table_en5.pdf	4	cl-03	cl-10	blank	
table_en5.pdf	4	cl-03	cl-11	blank	
table_en5.pdf	4	cl-03	cl-12	blank	
table_en5.pdf	4	cl-03	cl-13	blank	
table_en5.pdf	4	cl-03	cl-14	blank	
table_en5.pdf	4	cl-03	cl-15	blank	
