# spec/derived/defects.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every defect of the published document this repository records, in the order the rendering states them, each with the measurement that must still find it.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/defects.rs, xtask/src/derive.rs
# Reader SHA-256: 4f276527b3576a26fefa181c5ed1382124c9b46a2c6ce1fbbe6c02e2ff56c2bd

id	where	evidence	treatment
# `where` and `evidence` are the document's. The site is where the rendering states
# the defect, addressed by its own rendered section number (docs/adr/0013), and the
# evidence is what xtask/src/defects.rs measured in the vendored snapshot. Line
# numbers are lines of that file at the digest this header states.
#
# `treatment` is this repository's, the way `direction_conditional` in rules.tsv is a
# reading rather than a property of the text. It says what the pipeline does today,
# so a defect nothing has met yet says that rather than promising a milestone.
#
# Every row is a detection: each defect carries a measurement that must still find it
# in the rendering, and this derivation fails when one does not. A defect corrected
# upstream therefore fails the build and forces a review instead of changing an
# answer quietly (docs/adr/0009). The identifiers are the ones RECORDED_DEFECTS in
# xtask/src/attest.rs carries, and `attest` requires the two lists to be equal.
line-composition-note-locale-divergence	3.1.3	§3.1.3's closing Note states the rule for opposite writing modes in its two halves. The English opens `In vertical writing mode, when KATAKANA MIDDLE DOT "・" is used as a member of unit symbols…` and the Japanese opens 横組において — in horizontal writing mode — at line 3105: `なお，横組において，中点[・] (KATAKANA MIDDLE DOT)を単位記号中の文字（cl-25）として単位記号…`. It is the only one of the rendering's 1536 English/Japanese paragraph pairs where one half names a writing mode, the other names the other, and neither names both.	rules.tsv emits §3.1.3 in both locales and marks it direction-conditional. The unified pipeline keeps the document's divergence explicit and protocol cases fix the observable vertical punctuation and construct-context behavior.
dividing-punctuation-note-unresolved-reference	3.1.6	§3.1.6 publishes 4 Notes, and note 4, at line 3313, leaves a ReSpec cross reference unexpanded in its English half: `[[[#spacing_between_characters"]]]`. The Japanese half of the same note resolves it to §B Spacing between Characters. It is the only unexpanded `[[[…]]]` in the rendering, so an English-only reader is left without the table the sentence promises.	The Japanese half resolves the reference to §B, which is where the composition rules for cl-04 and cl-03 are tabulated; notes.tsv and rules.tsv emit both halves, while the conformance gate validates every canonical address used by protocol metadata, so the unresolved one is the document's alone.
appendix-d-table-numbering-off-by-one	3.8.3, D	Appendix D captions its three matrices Table 3, Table 4 (the method specified by JIS X 4051) and Table 5 (the method adopted by books), inside containers whose ids number them 4, 5, 6. §3.8.3 cites the container ordinal: the note at line 6511 names the method this document adopts and cites Table 4 in its Japanese half; the note at line 6573 names JIS X 4051 and cites Table 5 in its English and Japanese halves. Every one of the 3 citations is one higher than the caption of the matrix it names.	Nothing here cites a JLReq table by number: ADR 0013 addresses a rule by its rendered section number, and a captured matrix is named by the number its own caption prints, which is Appendix D's and never §3.8.3's.
reduction-step-1-locale-divergence	3.8.3	The Japanese half of step 1 of each of §3.8.3's two priority lists qualifies the reduction with 文字サイズ比で均等に — evenly, in proportion to character size — where the English half states a uniform amount: `Western word spaces (cl-26) are reduced to leave a minimum of one-quarter em spacing between words. The same width reduction is applied to all spaces on the target line at the same time.` at line 6529, and `Western word space (cl-26), which is usually one third em, is reduced by equal amounts, to leave a minimum of a quarter em spacing between words.` at line 6591. On a line of mixed character sizes the two are different operations. They are the only two of the 27 paragraph pairs whose Japanese half says 文字サイズ比 whose English half never says `character size`; the other 25 say it in so many words.	rules.tsv emits §3.8.3 in both locales. The unified integer adjustment pipeline uses the captured table stages and referent character sizes; mixed-size protocol cases freeze that observable reading.
bracket-class-enumeration-mismatch	3.9.2, A.28, A.29	§3.9.2 illustrates cl-28 with `（〔［ etc.` and cl-29 with `）〕］ etc.`, while §A.28 enumerates exactly 3 members and §A.29 exactly 3. Of the 20 classes §3.9.2 illustrates, these two are the only ones whose example says `etc.` over an enumeration Appendix A closes at the same count; the 4 examples that carry no `etc.` each list exactly what Appendix A lists, so the `etc.` is the document's own mark of an open example. Nothing states whether either warichu bracket class is those 3 members or more.	kumihan's private classifier uses the three members §A.28 and §A.29 enumerate, which is the only closed statement the document makes about either class. Whether a fourth bracket belongs is a silence for docs/decisions/ rather than an answer this stage may invent.
cl-19-duplicate-u216b	A.19	§A.19 publishes 465 rows for 464 distinct keys: the row `Ⅻ 216B ROMAN NUMERAL TWELVE ローマ数字12` appears twice, at lines 15004 and 15011, character for character. U+216B is the only key any of the 25 Appendix A tables lists twice, over 1687 rows, so cl-19 has one more listing than it has members.	appendix-a.tsv keeps both rows, xtask/src/classes.rs records the duplicate in RECORDED_DUPLICATES and fails on one it has not recorded, and the emitted cl-19 table holds the distinct members.
cl-24-remarks-role-stated-only-in-japanese	A.24, A.25	§A.24 U+0020 reads `位取りの空白 / 字幅は四分角` against `quarter em width` at line 16831; §A.24 U+002C reads `位取りのコンマ / 字幅は四分角又は半角` against `quarter em width or half-width` at line 16838; §A.25 U+0020 reads `位取りの空白 / 字幅は四分角` against `quarter em width` at line 16946. The extra line names the digit-grouping role and exists in Japanese alone. §A.24's U+002E is the control and does not diverge: both its halves carry the decimal-point line, `decimal point / quarter em width or half-width` against `小数点 / 字幅は四分角又は半角`. A line ending in `，` continues into the next rather than starting a second statement, which is the case in 1 of Appendix A's 1687 Remarks cells; no cell states more lines in English than in Japanese.	The role is read from the Japanese half, which is the half that states it, and emitted for both locales. xtask/src/classes.rs records each cell with the count of cells holding it, so a Remarks cell that gained or lost the line fails the derivation.
cl-25-remarks-without-locale-span	A.25	§A.25 U+0044 at line 17023, §A.25 U+0049 at line 17058, §A.25 U+004B at line 17072 hold the bare string `プロポーショナル` and no `its-locale-filter-list` span. The other 834 cells carrying that remark write it as two spans, one per locale. They are the only 3 of Appendix A's 1687 Remarks cells that hold text and no locale span, so an English-locale extraction yields an empty remark for 3 rows that mean proportionally-spaced.	The three cells are read as the remark the localized cells state, so the Proportional frame is emitted for all of them. xtask/src/classes.rs enumerates every distinct Remarks cell shape, and a shape nobody has read fails the derivation.
legend-anchor-and-filename-off-by-one	B.1, C.1, D.1, E.1	Every table ordinal in an anchor id or a PDF filename is one higher than the number the rendering prints. §B.1's anchor is `legend_of_table_2` under the heading `Legend of Table 1`; §C.1's anchor is `legend_of_table_3` under the heading `Legend of Table 2`; §D.1's anchor is `legend_of_tables_4_5_6` under the heading `Legend of Tables 3, 4 and 5`; §E.1's anchor is `legend_of_table_7` under the heading `Legend of Table 6`. The 6 containers `table2_pdf` through `table7_pdf` hold the captions Table 1 through Table 6, and link `tables/table_en2.pdf` through `tables/table_en7.pdf`. A tool keyed on an anchor id or a filename misnumbers every one of the 6 matrices.	anchors.tsv is built from each heading's rendered section number with the anchor id beside it as a second column, and xtask/src/attest.rs computes a matrix's published filename as its table number plus one. Both off-by-ones are asserted rather than absorbed.
b2-note-7-locale-class-divergence	B.2#7	§B.2 note 7's Japanese half links cl-10 and cl-11 where its English half does not, at line 23184. The two halves link cl-15, cl-16, cl-19, cl-22, cl-23 in common. It is the only one of §B.2's 17 notes whose halves link different character classes, so a reader taking the English half alone extends the ruby permission over 2 fewer classes than the Japanese half grants it.	notes.tsv emits both halves, so the two classes the English half omits are in the inventory through the Japanese column, which is the half that states them.
b2-note-11-simple-ruby-misnomer	B.2#11	§B.2 note 11 is about the jukugo-ruby character complex: its Japanese half names 熟語ルビ throughout and never names 熟語ルビ以外, the document's own term for the simple-ruby complex. Its English second sentence reads `When two adjacent characters belong to two distinct simple-ruby character complex runs, set them solid.` at line 23220, which is verbatim the second sentence of the note above it and names the wrong complex. It is the only paragraph in the rendering whose English half names the simple-ruby complex where its Japanese half does not name 熟語ルビ以外.	notes.tsv emits both halves verbatim. The generated Appendix B cell is cl-23 and the unified construct pipeline therefore applies it only to jukugo-ruby runs; the English misnomer is never used as a class key.
