# [capture]
# author = "table5-en-reader"
# date = "2026-08-07"
#
# Table 5 (Appendix D, book-practice reduction priority), English rendering, transcribed
# from table_en6.pdf per the filename off-by-one (docs/design/generation.md).
#
# Axes: the row and column axes are cl-01 through cl-16, cl-19 through cl-30 (28 classes;
# cl-17 and cl-18 do not appear on either axis of this appendix, confirmed independently
# from both PDFs' header/row-label word positions), plus line-head as an extra row and
# line-end as an extra column (ADR 0013's spelling). 29 x 29 = 841 cells.
#
# Stage ordinals: D.1 id635 encodes the second-and-later reduction priorities as cell
# background color, keyed by a raster image (fig_a5-1, images/img_a5_1.png and its ja
# counterpart) that is not otherwise vendored, because its only use is this reading, done
# once and applied per cell rather than captured as its own artifact. The key reads, left
# to right: 2nd step (pink), 3rd step (light blue), 4th step (dark gray), 5th step (medium
# gray), 6th step (light gray). This table realizes exactly two of those: the cyan/light-
# blue fill on every plain "1/2-1/4" cell is the 3rd step, and the pink/magenta fill on
# the three "1/2=0" cells (all at column line-end, rows cl-02, cl-06, cl-07) is the 2nd
# step. Independently corroborated against D.2#3's own words, which state the cl-07
# component of that note is "the third" priority in Table 5 -- matching the cyan reading
# for the ordinary cl-07 row cells beside it.
#
# Note-governed cells (D.2#1, #2, #3: rows/columns cl-05, cl-06, cl-07 against cl-05) hold
# a compound two-referent conditional space per ADR 0014, and the three do not share one
# shape in Table 5:
#
#   cl-07,cl-05 (D.2#3) is the one coordinate where D.2's text names a Table-5-specific
#   reading in so many words: "Table 5 allows the conditional half em space accompanying
#   preceding comma (cl-07) to be reduced to a quarter space as a minimum", at "the third"
#   priority. Recorded as 1/2-1/4 stage 3 -- the comma's own component only, not a sum of
#   the boundary's two components, per ADR 0014 and Table 1's own full two-term capture at
#   the same coordinate.
#
#   cl-05,cl-05 (D.2#1) and cl-06,cl-05 (D.2#2) are not: both notes' text names a Table-5
#   reading nowhere at all -- D.2#1 and D.2#2 each state their reduction is available only
#   "in Table 3" and "in Table 4", in contrast with D.2#3's explicit third sentence naming
#   Table 5 by name. An earlier revision of this file read the trailing middle dot's own
#   quarter em into these two cells anyway, on the theory that D.2#1/#2's unadjusted-amount
#   sentence at least fixes that component's magnitude even where no table-specific
#   reduction is stated for it; that reading is retired, because a magnitude Table 5's own
#   text never mentions is not this table's datum to state, and no other note-governed cell
#   in this file is filled from an unstated inference. Both are recorded as `blank`: the
#   footnote glyph is genuinely printed in table_en6.pdf/table_ja6.pdf at each coordinate
#   (matching D.2#1/#2's own citation, which does explain the boundary's unadjusted amount),
#   but Table 5 itself states no reduction and no isolated magnitude for either cell, the
#   same distinction `not`-vs-`blank` already draws for footnote-only Table 2 cells.
#
# Three cells carry a colored (cyan, CMYK 0.3/0/0/0 -- the same fill used on every plain
# "1/2-1/4" cell) rect fill with no notation text at all: cl-02 x cl-26, cl-07 x cl-26,
# cl-26 x cl-01. Confirmed present at the identical three coordinates in both table_en6.pdf
# and table_ja6.pdf, by two independent from-scratch extractions of each PDF's raw words
# and rects for this reconciliation (not merely inherited from one transcriber's reading),
# so this is not a locale divergence between the two renderings -- both editions print the
# same anomaly. No D.1 legend item (id629-id641) defines a colored cell with no token as a
# meaning, so there is nothing in the vocabulary this fill maps to. Table 1's own capture
# gives all three boundaries a real nonzero baseline (cl-02 x cl-26 = "1/2 be", cl-07 x
# cl-26 = "1/2 be", cl-26 x cl-01 = "1/2 af"), so `blank` is written here only because that
# is the literal token content -- no notation is printed -- and not as a claim that the
# boundary is solid. The circumstantial reading (every other cyan cell in the same row or
# column of each of these three prints "1/2-1/4", and the color and the Table-1 baseline
# both match that family) is recorded here rather than silently adopted as the token: an
# open question for a human reviewer, not resolved by this transcription.
#
source	table	before	after	token	note
table_en6.pdf	5	cl-01	cl-01	blank	
table_en6.pdf	5	cl-01	cl-02	blank	
table_en6.pdf	5	cl-01	cl-03	blank	
table_en6.pdf	5	cl-01	cl-04	blank	
table_en6.pdf	5	cl-01	cl-05	1/4	
table_en6.pdf	5	cl-01	cl-06	blank	
table_en6.pdf	5	cl-01	cl-07	blank	
table_en6.pdf	5	cl-01	cl-08	blank	
table_en6.pdf	5	cl-01	cl-09	blank	
table_en6.pdf	5	cl-01	cl-10	blank	
table_en6.pdf	5	cl-01	cl-11	blank	
table_en6.pdf	5	cl-01	cl-12	blank	
table_en6.pdf	5	cl-01	cl-13	blank	
table_en6.pdf	5	cl-01	cl-14	blank	
table_en6.pdf	5	cl-01	cl-15	blank	
table_en6.pdf	5	cl-01	cl-16	blank	
table_en6.pdf	5	cl-01	cl-19	blank	
table_en6.pdf	5	cl-01	cl-20	blank	
table_en6.pdf	5	cl-01	cl-21	blank	
table_en6.pdf	5	cl-01	cl-22	blank	
table_en6.pdf	5	cl-01	cl-23	blank	
table_en6.pdf	5	cl-01	cl-24	blank	
table_en6.pdf	5	cl-01	cl-25	blank	
table_en6.pdf	5	cl-01	cl-26	blank	
table_en6.pdf	5	cl-01	cl-27	blank	
table_en6.pdf	5	cl-01	cl-28	blank	
table_en6.pdf	5	cl-01	cl-29	×	
table_en6.pdf	5	cl-01	cl-30	blank	
table_en6.pdf	5	cl-01	line-end	×	
table_en6.pdf	5	cl-02	cl-01	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-02	blank	
table_en6.pdf	5	cl-02	cl-03	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-04	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-05	1/4	
table_en6.pdf	5	cl-02	cl-06	blank	
table_en6.pdf	5	cl-02	cl-07	blank	
table_en6.pdf	5	cl-02	cl-08	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-09	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-10	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-11	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-12	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-13	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-14	blank	
table_en6.pdf	5	cl-02	cl-15	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-16	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-19	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-20	blank	
table_en6.pdf	5	cl-02	cl-21	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-22	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-23	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-24	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-25	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-26	blank	
table_en6.pdf	5	cl-02	cl-27	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-28	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	cl-29	blank	
table_en6.pdf	5	cl-02	cl-30	1/2-1/4 stage 3	
table_en6.pdf	5	cl-02	line-end	1/2=0 stage 2	
table_en6.pdf	5	cl-03	cl-01	1/2-1/4 stage 3	
table_en6.pdf	5	cl-03	cl-02	blank	
table_en6.pdf	5	cl-03	cl-03	blank	
table_en6.pdf	5	cl-03	cl-04	blank	
table_en6.pdf	5	cl-03	cl-05	1/4	
table_en6.pdf	5	cl-03	cl-06	blank	
table_en6.pdf	5	cl-03	cl-07	blank	
