# spec/derived/notes.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every note of the four sections the published document heads Notes / 注記, in both locales, numbered by its position in that section's first ordered list.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 0d6e67b72fe664ac460d75bafa4b812d982d10c46dd083d6ae447926ff67a98e

address	section	ordinal	text_en	text_ja
# The ordinal counts only the items of the section's own first ordered list: a nested
# list inside one item is not four more notes. The `#` separating an ordinal from its
# section is this project's, because JLReq writes "note 7" in prose and gives its
# list items opaque ids (docs/adr/0013).
B.2#1	B.2	1	When opening brackets (cl-01) are followed by a simple-ruby character complex (cl-22) or jukugo-ruby character complex (cl-23), the preferred approach is to allow the ruby text to be extended up to the size of the ruby character over the opening brackets (cl-01). One alternative approach is to not allow ruby text to be extended over opening brackets, and another is to allow it to be extended up to half the size of the ruby character.	前に配置する始め括弧類（cl-01）の後ろに親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）又は親文字群中の文字（熟語ルビ付き）（cl-23）が連続する場合は，ルビ文字を最大でルビ文字の文字サイズまで掛けて配置してよい．ただし，体裁を重視する場合は，前の始め括弧類（cl-01）にルビ文字は掛けない，又はルビ文字を最大でルビ文字の文字サイズの1/2まで掛けて配置する，という方法もある．
B.2#2	B.2	2	The preferred spacing between closing brackets (cl-02) and the line end is a half em. The alternative is to set solid (JIS X 4051 adopts solid setting method, see § 3.1.9 Positioning of Closing Brackets, Full Stops, Commas and Middle Dots at Line End ).	行末に配置する終わり括弧類（cl-02）の後ろは，原則として二分アキとする．ただし，ベタ組とする方法もある（JIS X 4051ではベタ組としている，§ 3.1.9 行末に配置する終わり括弧類，句点類，読点類及び​中点類の​配置方法 参照）．
B.2#3	B.2	3	Character spacing between two consecutive middle dots (cl-05) shall be the sum of a quarter em of the preceding middle dots and a quarter em of the trailing middle dots.	前に配置する中点類（cl-05）の文字サイズの四分アキ＋後ろに配置する中点類（cl-05）の文字サイズの四分アキとする．
B.2#4	B.2	4	The preferred spacing between middle dots (cl-05) and the line end is a quarter em. The alternative is to set solid (JIS X 4051 adopts solid setting method, see § 3.1.9 Positioning of Closing Brackets, Full Stops, Commas and Middle Dots at Line End ).	行末に配置する中点類（cl-05）の後ろは，原則として四分アキとする．ただし，ベタ組とする方法もある（JIS X 4051ではベタ組としている，§ 3.1.9 行末に配置する終わり括弧類，句点類，読点類及び​中点類の​配置方法 参照）．
B.2#5	B.2	5	In this document, character spacing between a full stop (cl-06) or comma (cl-07) and a following middle dot (cl-05) is the sum of the half em spacing of the full stop or comma and the quarter em spacing of the middle dot. On the other hand, JIS X 4051 classifies commas (cl-07) as a subset of closing brackets (cl-02), and, therefore, where a comma (cl-07) is followed by a middle dot (cl-05) in JIS X 4051 the character spacing between them is just the quarter em spacing of the following middle dot (cl-05).	前に配置する句点類（cl-06）又は読点類（cl-07）の文字サイズの二分アキ＋後ろに配置する中点類（cl-05）の文字サイズの四分アキとする．なお，JIS X 4051では，読点類（cl-07）は終わり括弧類（cl-02）に含まれているので，読点類（cl-07）の後ろに中点類（cl-05）を配置する場合は，中点類（cl-05）の文字サイズの四分アキとしている．
B.2#6	B.2	6	The preferred spacing between full stops (cl-06) or commas (cl-07) and the line end is a half em. The alternative is to set solid (JIS X 4051 specifies that the spacing after full stop (cl-06) is a half em and the spacing after comma (cl-07) is solid, see § 3.1.9 Positioning of Closing Brackets, Full Stops, Commas and Middle Dots at Line End ).	行末に配置する句点類（cl-06）又は読点類（cl-07）の後ろは，原則として二分アキとする．ただし，ベタ組とする方法もある（JIS X 4051では句点類（cl-06）の後ろは二分アキ，読点類（cl-07）の後ろはベタ組としている，§ 3.1.9 行末に配置する終わり括弧類，句点類，読点類及び​中点類の​配置方法 参照）．
